id	filename	md5	size	state
095e835b-8ed1-4a2f-94cb-33a8710802d2	TCGA-D3-A3C8-06A-01-TSA.4468E689-10CB-4A4A-84AF-5BE44004A473.svs	a9190b8b0c5c17d392227cd48dd92372	439551793	released
2792995a-4536-4a86-b396-b4db3be82453	TCGA-ER-A2NC-06A-01-TSA.954FE07A-4923-493F-B183-AF7C8D2E54ED.svs	33ab15c54a733d05b98df9407447adac	235361873	released
01d1eceb-69b4-4c7b-8123-22614f31f02f	TCGA-FS-A1ZS-06A-01-TSA.473F46A3-DA66-480E-9B18-C72F8E247856.svs	b5fb871858644b9b4d613dc1a531d49c	105068429	released
08f55bc7-bd5b-473c-ade4-639e7fb626bd	TCGA-ER-A3ES-06A-01-TSA.9DBD3D94-858A-468B-8936-69F597E614D5.svs	01fc8a65a3fde4db272b11df6601044e	196705871	released
69e0bf7a-2e45-49ba-87f9-789af90da8ce	TCGA-EE-A2GO-06A-01-TSA.51033D39-8DF9-41DE-AE6F-ADA7EA1D22DC.svs	596c9463ee7fcb3b9b8eb0ce8aa61650	150184435	released
689b6686-8cd2-4ff1-b209-3b0a4d4a0201	TCGA-FS-A1ZT-06A-01-TSA.D7B82C68-DB47-441B-88DC-B7FCD0C24D02.svs	8ce0949a994e3e77557222cdb4f17b44	357668941	released
816c84a7-d9d9-4b2d-8943-cd8ad01396e6	TCGA-D3-A3CC-06A-01-TSA.2E8BD4D5-7811-4BA4-B606-C8BC99C96FFF.svs	a2694496e5358807d6a4765eb05faafb	111562793	released
3f66b550-8e59-4d6b-8725-e04603d1d09f	TCGA-D3-A3MU-06A-01-TSA.A04B4F05-9DCF-476C-9D62-ECC80FBD78F3.svs	79a0311778ff6eefcee204c0def9b917	180016739	released
bdc1deb4-f567-4e24-8cf0-9437a835e4ee	TCGA-EE-A2MR-06A-01-TSA.6EADBC60-CFE3-45DD-AC6C-23D0F9DEE5B7.svs	ca3304bd0ec867825aa5df42cf9a4d48	141825057	released
cc48b500-b070-4452-9df7-f4e9fb37957e	TCGA-FS-A1ZU-06A-01-TSA.6DD77E05-A5FF-479E-826A-A82D86A9EBE8.svs	fda9d7e1f88507dfc175a2fef400cd47	209137335	released
