id	filename	md5	size	state
a3ac783e-d67d-4330-a2f0-53710c94520f	TCGA-ER-A2NB-01A-01-TSA.8F5DF17B-F79C-4DF9-9DEA-D6899CFF1747.svs	fd378fc3c0bd0f590fdad375fc05ec68	253671073	released
3ba8d150-b842-4e82-8909-b0616f5bb2ff	TCGA-EB-A24C-01A-01-TSA.C8B0A5F9-B42E-4071-BA1D-96DC7F208A1F.svs	47b67bf810d5f74bad158d66a32682bf	274012225	released
48660a1d-0a99-4738-bcf9-0656f3370642	TCGA-EB-A5FP-01A-01-TSA.2D12FCF0-BB0E-4600-9896-8E45039DEED9.svs	6a997e120dca93101aa597e65304df77	222417721	released
240e508b-426f-4c4a-acda-5c5993e05190	TCGA-D9-A4Z5-01A-01-TS1.C813CECE-C7C7-4C38-B6CD-F82E8575A868.svs	66f010aa850754602360531cbbb9b4f1	141696781	released
091a0712-f0ec-4773-bac9-e93af8dce5cc	TCGA-BF-A5EQ-01A-02-TSB.5E5ED6C7-7ABB-4BD5-AA31-2E1E32F020D2.svs	7d46399737a66ec2da1ab0873c4491f4	143043555	released
f6633da0-49e2-42f5-914f-0ed63b64f9e1	TCGA-HR-A5NC-01A-01-TS1.38EB64E8-92A0-45A9-A631-46616C364CD0.svs	ef05806c53474688356d63acffb2b02e	184941241	released
7325d864-df8e-4a8f-80ce-2f1d575427e5	TCGA-XV-A9VZ-01A-01-TSA.7C5ECCFD-3555-4D6E-BE6F-C1AC6E4AB417.svs	82ffd9379a53c359f1007a2aab58c530	217463057	released
bd4e358e-bbd8-44db-9c5e-f3c6c33d8534	TCGA-EB-A4OY-01A-01-TSA.718B6B0B-EAAB-4F63-B8A8-B45F826C70C4.svs	b7d644d46b7228492d31afd930dccd98	373103165	released
d1e07804-48ce-4c80-8a42-1dc4ec394cb0	TCGA-BF-A1Q0-01A-02-TSB.136952E7-8B68-453E-BF14-63C71689679E.svs	9501794b59d6f0b2862dca6cd53c84dc	127211065	released
d3b496d6-23ce-4de4-ad5f-302a35ef736f	TCGA-FR-A3R1-01A-01-TSA.6FD34AB7-C765-474A-B2E7-A52F553BDFCE.svs	9e755b7bdef0b270f9c74be18b4117a9	436481281	released
f74976e7-b424-4dc0-8ee4-e6a19e729389	TCGA-BF-AAP2-01A-01-TS1.5327E0DD-0730-44CA-821E-FA4EA0904D48.svs	a49bf7850e005672cf0e7092112000ce	488422673	released
cfd6df5f-5c68-4f9e-a226-d475214f5cc2	TCGA-GN-A8LN-01A-01-TSA.B25EAC20-98D7-4C6B-A932-1DB180EF723F.svs	2a47dcf07ebdd655371f745233dd1880	188851231	released
1b1586c6-f217-474c-b54c-8109fa498d7e	TCGA-BF-A5EO-01A-01-TS1.095504A3-766F-42A9-8088-8E110D728E40.svs	589a51f97c4487c39bcb57cad784405b	200896603	released
7885f994-46a7-4b2c-a914-5cb416a1c421	TCGA-BF-A5EP-01A-01-TSA.CC2A1C8A-0F36-4B72-99A5-A6EF6FDF6ADB.svs	f1ea2ad9e52e60ff9f5ec8ad67e1a45d	219951773	released
2b1f7852-009f-46e4-b6d7-7f1fc8c85cdc	TCGA-FW-A5DX-01A-01-TS1.0FB36972-6B1E-4045-BB2E-D85786A163B3.svs	1ff1d43533f4b2d1385d33d71560fdf5	126113433	released
2c051468-9222-4c5c-88ed-4efd3b974de1	TCGA-XV-A9W2-01A-01-TSA.9467FF7B-FF14-4E89-BB3A-4F6D214E20F5.svs	f25976f15d8b64cca7614cc61a46e11d	252479559	released
dffac139-876d-4f45-8b09-e033cd962734	TCGA-EB-A3Y6-01A-02-TSB.D72B4DB5-FBAE-409B-84C6-AF3CAE7D9EA1.svs	a925f67afa69496db47019790e31e835	392606661	released
fc8df24f-c7bf-4031-a232-ad4ce6f7040c	TCGA-EB-A44N-01A-01-TSA.2456CBA1-F23C-436B-B05F-FE18FA887430.svs	4d5d89d65a7c24ff88b6e2064fc98a84	508473291	released
